"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3855","should have jQuery version 1.12.4-aem on page: https://can-am.brp.com/off-road/us/en/models/sxs.html","","Wed Sep 24 21:21:26 BRT 2025","passed","Wed Sep 24 21:21:30 BRT 2025","","Brand: Can-Am","",""
"","18","should appear in the Allure report","","Wed Sep 24 21:20:51 BRT 2025","passed","Wed Sep 24 21:20:51 BRT 2025","","Allure basic test","",""
"","3868","2-Validated chooseCookies","Navbar Links - Brand: canam","Wed Sep 24 21:21:03 BRT 2025","passed","Wed Sep 24 21:21:06 BRT 2025","","Region: us | Language: en","",""
"","2395","should have jQuery version 1.12.4-aem on page: https://can-am.brp.com/off-road/us/en/","","Wed Sep 24 21:21:24 BRT 2025","passed","Wed Sep 24 21:21:26 BRT 2025","","Brand: Can-Am","",""
"","13","should load pages data","","Wed Sep 24 21:21:22 BRT 2025","passed","Wed Sep 24 21:21:22 BRT 2025","","Brand: Can-Am","",""
"","3594","4-Validated acceptAllAndNext","Navbar Links - Brand: canam","Wed Sep 24 21:21:10 BRT 2025","passed","Wed Sep 24 21:21:14 BRT 2025","","Region: us | Language: en","",""
"","2765","should have jQuery version 1.12.4-aem on page: https://can-am.brp.com/off-road/us/en/models/atv.html","","Wed Sep 24 21:21:31 BRT 2025","passed","Wed Sep 24 21:21:33 BRT 2025","","Brand: Can-Am","",""
"","3566","3-Validated prevCookies","Navbar Links - Brand: canam","Wed Sep 24 21:21:07 BRT 2025","passed","Wed Sep 24 21:21:10 BRT 2025","","Region: us | Language: en","",""
"","6462","1-Validated acceptCookies","Navbar Links - Brand: canam","Wed Sep 24 21:20:56 BRT 2025","passed","Wed Sep 24 21:21:02 BRT 2025","","Region: us | Language: en","",""
"","4808","5-Validated acceptAllCookies","Navbar Links - Brand: canam","Wed Sep 24 21:21:14 BRT 2025","passed","Wed Sep 24 21:21:19 BRT 2025","","Region: us | Language: en","",""
